iter	Passed	Remaining
807	12472	2963
808	12492	2949
809	12508	2934
810	12527	2919
811	12542	2903
812	12563	2889
813	12578	2874
814	12598	2859
815	12615	2844
816	12632	2829
817	12652	2815
818	12668	2799
819	12688	2785
820	12704	2769
821	12722	2754
822	12739	2739
823	12758	2725
824	12778	2710
825	12793	2695
826	12811	2680
827	12827	2664
828	12845	2649
829	12861	2634
830	12877	2618
831	12894	2603
832	12908	2587
833	12926	2572
834	12941	2557
835	12959	2542
836	12978	2527
837	12995	2512
838	13012	2496
839	13027	2481
840	13045	2466
841	13061	2451
842	13079	2436
843	13095	2420
844	13110	2404
845	13129	2389
846	13145	2374
847	13163	2359
848	13181	2344
849	13198	2329
850	13217	2314
851	13233	2298
852	13250	2283
853	13265	2267
854	13280	2252
855	13296	2236
856	13309	2220
857	13323	2205
858	13350	2191
859	13371	2176
860	13386	2161
861	13402	2145
862	13420	2130
863	13438	2115
864	13455	2100
865	13474	2084
866	13490	2069
867	13509	2054
868	13526	2039
869	13543	2023
870	13560	2008
871	13575	1992
872	13592	1977
873	13605	1961
874	13621	1945
875	13636	1930
876	13653	1914
877	13669	1899
878	13686	1884
879	13705	1868
880	13721	1853
881	13739	1838
882	13754	1822
883	13767	1806
884	13783	1791
885	13797	1775
886	13811	1759
887	13828	1744
888	13842	1728
889	13861	1713
890	13877	1697
891	13894	1682
892	13911	1666
893	13928	1651
894	13945	1636
895	13961	1620
896	13980	1605
897	13997	1589
898	14016	1574
899	14030	1558
900	14042	1542
901	14057	1527
902	14072	1511
903	14085	1495
904	14101	1480
905	14117	1464
906	14130	1448
907	14147	1433
908	14163	1417
909	14178	1402
910	14191	1386
911	14206	1370
912	14221	1355
913	14245	1340
914	14262	1324
915	14278	1309
916	14295	1293
917	14312	1278
918	14327	1262
919	14344	1247
920	14360	1231
921	14376	1216
922	14395	1200
923	14409	1185
924	14428	1169
925	14443	1154
926	14459	1138
927	14476	1123
928	14489	1107
929	14507	1091
930	14523	1076
931	14536	1060
932	14553	1045
933	14568	1029
934	14585	1013
935	14598	998
936	14612	982
937	14626	966
938	14641	951
939	14654	935
940	14671	919
941	14685	904
942	14699	888
943	14717	873
944	14732	857
945	14750	842
946	14768	826
947	14784	810
948	14802	795
949	14816	779
950	14834	764
951	14849	748
952	14864	733
953	14883	717
954	14899	702
955	14918	686
956	14933	670
957	14950	655
958	14966	639
959	14982	624
960	14999	608
961	15016	593
962	15033	577
963	15047	561
964	15062	546
965	15079	530
966	15096	515
967	15111	499
968	15127	483
969	15143	468
970	15161	452
971	15177	437
972	15195	421
973	15212	406
974	15227	390
975	15245	374
976	15262	359
977	15278	343
978	15292	328
979	15307	312
980	15321	296
981	15336	281
982	15353	265
983	15372	249
984	15386	234
985	15403	218
986	15417	203
987	15432	187
988	15448	171
989	15462	156
990	15475	140
991	15490	124
992	15506	109
993	15524	93
994	15538	78
995	15553	62
996	15569	46
997	15582	31
998	15597	15
999	15614	0
